Country,Population,Name,Title
Egypt,90,253,760,Egypt,مصر
Iran,83,539,004,Iran,ایران
Turkey,78,214,000,Turkey,ترکیه
Iraq,36,575,000,Iraq,عراق
Saudi Arabia,31,521,000,Saudi Arabia,عربستان سعودی
Yemen,26,745,000,Yemen,یمن
Syria,23,270,000,Syria,سوریه
Jordan,10,248,069,Jordan,اردن
United Arab Emirates,9,154,000,United Arab Emirates,امارات متحده عربی
Israel (including occupied territories),8,547,000,Israel,اسراییل
Lebanon,6,185,000,Lebanon,لبنان
occupied Palestinian territory,4,816,503,occupied Palestinian territory,فلسطین
Oman,4,181,000,Oman,عمان
Kuwait,4,161,000,Kuwait,کویت
Qatar,2,113,000,Qatar,قطر
Bahrain,1,781,000,Bahrain,بحرین
